lambda,success_rate,avg_cost
0.0,0.7817294281729428,0.0021555927475592636
1.0,0.7817294281729428,0.0021555927475592636
2.3101297000831598,0.7817294281729428,0.0021555927475592636
5.3366992312063095,0.6311018131101813,0.00029613877266386967
12.32846739442066,0.6241283124128313,0.0001412319386331862
28.48035868435802,0.6241283124128313,0.0001002500697349993
65.79332246575683,0.6241283124128313,9.525523012551548e-05
151.99110829529332,0.6241283124128313,9.525523012551548e-05
351.1191734215131,0.5606694560669456,8.004002789399762e-05
811.1308307896873,0.5216178521617852,7.293417015341228e-05
1873.817422860385,0.39748953974895396,5.79640167363991e-05
4328.7612810830615,0.29218967921896793,3.745230125522936e-05
10000.0,0.2789400278940028,3.164072524407231e-05
